TimeSlot,mMTC_BW,URLLC_BW,eMBB_BW
1,148.136800615947,511.754967623323,340.10823176073
2,148.313813381891,512.472502755152,339.213683862957
3,149.968828698908,516.144743078757,333.886428222336
4,153.304943763018,515.867036906798,330.828019330184
5,154.588953344961,520.163853320854,325.247193334184
6,155.742302657512,519.964028161234,324.293669181254
7,159.229934870002,493.965826753172,346.804238376826
8,165.011079263484,469.267535415513,365.721385321002
9,175.570151057681,445.804158644738,378.625690297581
10,181.854252237922,423.513950712501,394.631797049577
11,188.60024375415,402.338253176876,409.061503068974
12,191.581118777479,382.221340518032,426.197540704489
13,191.104883068178,387.150216558081,421.744900373741
14,194.717805114183,367.792705730177,437.48948915564
15,197.372300033597,349.403070443668,453.224629522735
16,198.923914777652,331.932916921485,469.143168300863
17,200.830909574549,315.33627107541,483.832819350041
18,198.702226981793,299.56945752164,501.728315496567
19,197.857414870044,284.590984645558,517.551600484398
20,203.601332429965,270.36143541328,526.037232156755
21,210.927195290824,256.843363642616,532.22944106656
22,215.359323174931,244.001195460485,540.639481364584
23,219.629316114097,231.801135687461,548.569548198442
24,220.839416702405,220.211078903088,558.949504394507
25,221.709266894206,209.200524957934,569.09020814786
26,219.310249424647,198.740498710037,581.949251865316
27,218.378401523906,188.803473774535,592.818124701559
28,218.682345565379,179.363300085808,601.954354348812
29,211.34355855443,185.395135081518,603.261306364052
30,210.150599207736,176.125378327442,613.724022464822
31,209.3959332935,167.31910941107,623.28495729543
32,200.206559807764,173.953153940516,625.840286251719
33,194.75394338125,180.255496243491,624.99056037526
34,195.827725530333,171.242721431316,632.929553038351
35,194.432330166573,162.68058535975,642.887084473677
36,193.76311248331,154.546556091763,651.690331424927
37,187.009583991672,181.517105893597,631.47331011473
38,179.478896763076,206.965442834262,613.555660402662
39,172.80450518802,232.889898516573,594.305596295407
40,164.9146393388,256.633149622039,578.452211039161
41,157.133639600451,278.676359150497,564.190001249051
42,149.418697106155,297.363333645032,553.217969248813
43,141.434267054106,316.468176569297,542.097556376597
44,134.878286178091,334.130510012663,530.991203809245
45,128.754858492217,352.540860433485,518.704281074298
46,122.290186926885,370.812250390655,506.89756268246
47,120.651017573819,388.263032263325,491.085950162856
48,124.302596053129,394.230556689337,481.466847257534
49,127.906317141454,395.204248942114,476.889433916432
50,132.629425389896,375.444036495009,491.926538115095
51,135.061085039293,356.671834670258,508.267080290449
52,139.219316699186,338.838242936745,521.942440364069
53,140.727750621556,321.896330789908,537.375918588536
54,142.736401549078,305.801514250413,551.462084200509
55,147.690583556137,290.511438537892,561.797977905971
56,152.20037147468,275.985866610997,571.813761914323
57,158.749005331162,262.186573280448,579.064421388391
58,166.384006639228,249.077244616425,584.538748744347
59,173.174262709448,236.623382385604,590.202354904948
60,180.772485689088,224.792213266324,594.435301044588
61,184.820780272266,213.552602603008,601.626617124726
62,187.947285298647,227.227430988406,584.825283712948
63,188.309219925397,240.792045979206,570.898734095397
64,190.612199486519,256.41262874561,552.975171767871
65,190.452047022266,271.201995042777,538.345957934957
66,191.993545557399,282.810420699202,525.196033743399
67,183.595406138616,310.048320163883,506.356273697501
68,184.389682440968,320.909574374043,494.700743184989
69,185.312181254851,333.512257827859,481.175560917291
70,187.491034416963,346.092406775111,466.416558807926
71,187.956843790785,355.277040162559,456.766116046656
72,188.129311174484,362.616332949698,449.254355875818
73,188.272425240735,370.755170478096,440.972404281169
74,188.638036924914,381.413684033801,429.948279041285
75,192.091368217055,388.909728152894,418.998903630051
76,191.049807538362,393.507574425991,415.442618035646
77,194.378168456498,373.832195704692,431.78963583881
78,199.920580620876,355.140585919457,444.938833459667
79,202.518232333676,337.383556623484,460.09821104284
80,205.50485271359,320.51437879231,473.980768494099
81,207.361150287768,304.488659852695,488.150189859537
82,213.014690493678,289.26422686006,497.721082646262
83,215.963332348587,274.801015517057,509.235652134356
84,220.861727229346,261.060964741204,518.07730802945
85,220.734274031035,273.774942184258,505.490783784707
86,225.292335617336,260.086195075045,514.621469307619
87,226.824594488406,247.081885321293,526.093520190301
88,226.131440240176,263.507124167783,510.361435592041
89,225.234337295082,281.503569451424,493.262093253494
90,223.320922345363,298.795938213217,477.88313944142
91,220.516844173979,315.901329523524,463.581826302496
92,222.177262783886,328.954421977848,448.868315238266
93,221.82919381267,337.279994567197,440.890811620133
94,213.44280938494,359.863010956782,426.694179658278
95,211.857346623484,341.869860408942,446.272792967574
96,211.005023185693,324.776367388495,464.218609425811
97,201.454864416464,345.537733799182,453.007401784354
98,198.68256248732,328.260847109223,473.056590403457
99,197.928240543447,311.847804753762,490.223954702791
100,198.635660266839,296.255414516074,505.108925217088
101,196.545824337976,281.44264379027,522.011531871754
102,189.247356830165,282.370511600756,528.382131569079
103,185.837386826749,268.251986020719,545.910627152533
104,176.608904694354,269.839386719683,553.551708585963
105,172.615037888092,256.347417383699,571.037544728209
